"","CPHI.Open","CPHI.High","CPHI.Low","CPHI.Close","CPHI.Volume","CPHI.Adjusted"
"148",0.25,0.25,0.22,0.23,32500,0.23
"149",0.24,0.24,0.21,0.23,19900,0.23
"150",0.23,0.23,0.23,0.23,500,0.23
"151",0.24,0.24,0.22,0.24,1100,0.24
"152",0.24,0.25,0.24,0.24,300,0.24
"153",0.26,0.26,0.22,0.24,16700,0.24
"154",0.23,0.24,0.22,0.24,9600,0.24
"155",0.24,0.24,0.22,0.24,84200,0.24
"156",0.22,0.28,0.22,0.27,48200,0.27
"157",0.27,0.28,0.25,0.25,22000,0.25
"158",0.28,0.28,0.25,0.25,500,0.25
"159",0.26,0.26,0.25,0.25,25800,0.25
"160",0.26,0.28,0.25,0.28,31900,0.28
"161",0.28,0.28,0.26,0.26,30200,0.26
"162",0.24,0.24,0.21,0.21,32200,0.21
"163",0.27,0.27,0.2,0.22,32900,0.22
"164",0.23,0.24,0.23,0.23,4200,0.23
"165",0.25,0.27,0.24,0.24,15600,0.24
"166",0.25,0.25,0.23,0.25,18600,0.25
"167",0.23,0.23,0.23,0.23,100,0.23
"168",0.23,0.23,0.23,0.23,0,0.23
"169",0.23,0.23,0.23,0.23,6000,0.23
"170",0.23,0.24,0.23,0.24,10300,0.24
"171",0.23,0.23,0.16,0.2,121500,0.2
"172",0.25,0.25,0.21,0.21,15100,0.21
"173",0.2,0.21,0.2,0.2,7600,0.2
"174",0.22,0.22,0.2,0.22,18100,0.22
"175",0.24,0.24,0.2,0.21,10900,0.21
"176",0.21,0.22,0.21,0.21,15200,0.21
"177",0.21,0.21,0.2,0.21,5800,0.21
"178",0.21,0.21,0.19,0.21,55200,0.21
"179",0.19,0.2,0.19,0.2,4100,0.2
"180",0.21,0.21,0.21,0.21,9700,0.21
"181",0.2,0.24,0.2,0.24,17900,0.24
"182",0.2,0.24,0.2,0.24,36600,0.24
"183",0.25,0.25,0.21,0.23,72000,0.23
"184",0.2,0.21,0.2,0.21,5000,0.21
"185",0.21,0.21,0.19,0.19,25400,0.19
"186",0.22,0.22,0.19,0.2,6700,0.2
"187",0.2,0.21,0.19,0.2,21700,0.2
"188",0.2,0.2,0.19,0.2,19500,0.2
"189",0.2,0.2,0.18,0.18,27400,0.18
"190",0.21,0.21,0.18,0.19,40100,0.19
"191",0.2,0.21,0.16,0.17,20300,0.17
"192",0.19,0.19,0.17,0.17,5800,0.17
"193",0.18,0.19,0.18,0.18,39800,0.18
"194",0.19,0.19,0.16,0.18,56900,0.18
"195",0.16,0.19,0.16,0.17,149800,0.17
"196",0.18,0.18,0.18,0.18,800,0.18
"197",0.17,0.2,0.17,0.18,38100,0.18
"198",0.19,0.19,0.17,0.19,3400,0.19
"199",0.19,0.2,0.17,0.19,8800,0.19
"200",0.17,0.19,0.17,0.19,16300,0.19
"201",0.18,0.19,0.18,0.19,6700,0.19
"202",0.2,0.2,0.19,0.19,6000,0.19
"203",0.2,0.2,0.19,0.19,42400,0.19
"204",0.19,0.21,0.18,0.18,61100,0.18
"205",0.2,0.21,0.19,0.2,22400,0.2
"206",0.21,0.22,0.2,0.2,13000,0.2
"207",0.22,0.22,0.2,0.2,12200,0.2
"208",0.19,0.2,0.19,0.2,13200,0.2
"209",0.19,0.2,0.19,0.2,4600,0.2
"210",0.21,0.22,0.2,0.21,46400,0.21
"211",0.23,0.23,0.21,0.21,400,0.21
"212",0.2,0.2,0.19,0.2,41200,0.2
"213",0.18,0.2,0.18,0.19,14600,0.19
"214",0.2,0.2,0.2,0.2,25800,0.2
"215",0.19,0.22,0.17,0.22,39500,0.22
"216",0.22,0.23,0.19,0.19,4100,0.19
"217",0.2,0.2,0.19,0.19,300,0.19
"218",0.19,0.19,0.19,0.19,5000,0.19
"219",0.21,0.23,0.19,0.22,48800,0.22
"220",0.22,0.24,0.22,0.24,79000,0.24
"221",0.22,0.23,0.2,0.22,13200,0.22
"222",0.19,0.2,0.19,0.19,21700,0.19
"223",0.19,0.23,0.19,0.23,3300,0.23
"224",0.24,0.24,0.2,0.21,9000,0.21
"225",0.21,0.24,0.2,0.2,55500,0.2
"226",0.2,0.21,0.19,0.2,4500,0.2
"227",0.2,0.22,0.2,0.2,16000,0.2
"228",0.2,0.2,0.18,0.18,35400,0.18
"229",0.18,0.2,0.18,0.19,8200,0.19
"230",0.19,0.2,0.19,0.19,16900,0.19
"231",0.19,0.22,0.19,0.22,75000,0.22
"232",0.22,0.3,0.21,0.25,594300,0.25
"233",0.26,0.26,0.23,0.24,172900,0.24
"234",0.24,0.24,0.22,0.24,34600,0.24
"235",0.24,0.24,0.2,0.21,12000,0.21
"236",0.2,0.23,0.2,0.21,8100,0.21
"237",0.21,0.21,0.21,0.21,30500,0.21
"238",0.2,0.2,0.17,0.2,72000,0.2
"239",0.2,0.21,0.2,0.21,7300,0.21
"240",0.19,0.2,0.19,0.19,2200,0.19
"241",0.18,0.2,0.17,0.17,50900,0.17
"242",0.18,0.2,0.17,0.18,121700,0.18
"243",0.18,0.19,0.18,0.19,1600,0.19
"244",0.17,0.2,0.17,0.18,11300,0.18
"245",0.17,0.18,0.17,0.18,79800,0.18
"246",0.17,0.17,0.16,0.17,24600,0.17
"247",0.16,0.19,0.16,0.17,16400,0.17
"248",0.17,0.18,0.16,0.16,38100,0.16
"249",0.17,0.17,0.16,0.16,14800,0.16
"250",0.17,0.17,0.15,0.16,30000,0.16
"251",0.17,0.17,0.15,0.16,90800,0.16
"252",0.16,0.16,0.15,0.16,30200,0.16
"253",0.15,0.17,0.13,0.16,98400,0.16
"254",0.16,0.16,0.15,0.16,19100,0.16
"255",0.15,0.16,0.14,0.16,101500,0.16
"256",0.16,0.17,0.14,0.14,27100,0.14
