"","CPHI.Open","CPHI.High","CPHI.Low","CPHI.Close","CPHI.Volume","CPHI.Adjusted"
"107",0.26,0.26,0.25,0.25,111600,0.25
"108",0.25,0.26,0.25,0.26,113200,0.26
"109",0.26,0.26,0.25,0.26,103500,0.26
"110",0.25,0.27,0.25,0.25,118200,0.25
"111",0.25,0.26,0.25,0.25,100100,0.25
"112",0.25,0.26,0.25,0.25,160400,0.25
"113",0.26,0.26,0.25,0.25,86000,0.25
"114",0.25,0.25,0.25,0.25,75900,0.25
"115",0.25,0.25,0.25,0.25,120000,0.25
"116",0.25,0.25,0.24,0.24,103900,0.24
"117",0.21,0.24,0.21,0.23,226300,0.23
"118",0.23,0.23,0.23,0.23,57600,0.23
"119",0.23,0.24,0.22,0.23,98200,0.23
"120",0.24,0.24,0.21,0.22,84500,0.22
"121",0.21,0.22,0.2,0.21,77500,0.21
"122",0.21,0.23,0.21,0.22,66500,0.22
"123",0.21,0.24,0.21,0.23,230800,0.23
"124",0.22,0.23,0.2,0.23,99400,0.23
"125",0.23,0.23,0.21,0.22,48800,0.22
"126",0.21,0.22,0.21,0.22,124400,0.22
"127",0.23,0.23,0.21,0.23,36000,0.23
"128",0.22,0.22,0.22,0.22,54500,0.22
"129",0.22,0.23,0.22,0.22,62000,0.22
